Format of a line is:
#number[TAB]name[TAB]   # optional comment
#

# Objects
1000	GRATE
1001	STEPS
1002	DOOR
1003	SNAKE
1004	FISSURE
1005	TABLET
1006	MIRROR
1007	PLANT
1008	PLANT2
1009	STALACTITE
1010	FOG
1011	GLOW
1012	SHADOW
1013	BLOB	# Rover, to all you "The Prisoner" fans
1014	DRAWING
1015	PIRATE
1016	DRAGON
1017	CHASM
1018	TROLL
1019	TROLL2
1020	OGRE
1021	BASILISK
1022	GONG
1023	DJINN
1024	TURTLE
1025	MESSAGE
1026	VOLCANO
1027	STATUE
1028	QUICKSAND
1029	SLIME
1030	MACHINE
1031	SAFE
1032	THRONE
1033	SKELETON
1034	BEAR
1035	BATTERIES
1036	CARPET
1037	DINGHY
1038	BAG
1039	CROWN
1040	GOLD
1041	DIAMONDS
1042	SILVER
1043	JEWELRY
1044	COINS
1045	CHEST
1046	EGGS
1047	TRIDENT
1048	HELMET
1049	VASE
1050	POTTERY
1051	EMERALD
1052	SCEPTRE
1053	YACHT
1054	PYRAMID
1055	PEARL
1056	RUG
1057	SPICES
1058	BEADS
1059	CHAIN
1060	RING
1061	SPYGLASS
1062	SCULPTURE
1063	BRACELET
1064	CASKET
1065	KEYS
1066	LAMP
1067	CAGE
1068	BIRD
1069	ROD
1070	PLATE
1071	DYNAMITE
1072	PILLOW
1073	CLAM
1074	OYSTER
1075	MAGAZINES
1076	DWARF
1077	KNIFE
1078	FOOD
1079	BOTTLE
1080	FLASK
1081	WATER
1082	OIL
1083	AXE
1084	SWORD
1085	TEETH
1086	VIAL
1087	MUSHROOM
1088	GOBLINS
#
# Places
#
2000	ROAD
2001	HILL
2002	BUILDING
2003	VALLEY
2004	FOREST
2005	FOREST2
2006	SLIT
2007	DEPRESSION
2008	INCAVE
2009	COBBLES
2010	DEBRIS
2011	CANYON
2012	BIRDCHAMBER
2013	PIT
2014	MISTS
2015	EASTOFFISSURE
2016	WESTOFFISSURE
2017	GOLDROOM
2018	MTKING
2019	WEND2PIT
2020	EEND2PIT
2021	EASTPIT
2022	WESTPIT
2023	LOWNSPASSAGE
2024	SOUTHSIDE
2025	WESTSIDE
2026	Y2
2027	JUMBLE
2028	WINDOW
2029	WINDOW2
2030	DIRTY
2031	BRINK
2032	STREAMPIT
2033	DUSTY
2034	WENDMISTS
2035	MAZEA.42
2036	MAZEA.43
2037	MAZEA.44
2038	MAZEA.45
2039	MAZEA.46
2040	MAZEA.47
2041	MAZEA.48
2042	MAZEA.49
2043	MAZEA.50
2044	MAZEA.51
2045	MAZEA.52
2046	MAZEA.53
2047	MAZEA.54
2048	MAZEA.55
2049	MAZEA.56
2050	MAZEA.57.PIT
2051	MAZEA.58
2052	LONGHALLEAST
2053	LONGHALLWEST
2054	CROSSOVER
2055	DEADEND1
2056	COMPLEX
2057	BEDQUILT
2058	SWISS
2059	SLAB
2060	SECRETNSCYN
2061	SECRETNSCPAS
2062	SECRETJUNCTION
2063	LOW
2064	DEADEND2
2065	SECRETEW.TITE
2066	NSCANYONWIDE
2067	TIGHTERSTILL
2068	TALLEWCNYN
2069	DEADEND3
2070	MAZEA.80
2071	MAZEA.81
2072	MAZEA.82
2073	MAZEA.83
2074	MAZEA.84
2075	MAZEA.85
2076	MAZEA.86
2077	MAZEA.87
2078	NARROWCORRIDOR
2079	INCLINE
2080	GIANT
2081	IMMENSENSPASS
2082	CAVERN
2083	SOFT
2084	ORIENTAL
2085	MISTY
2086	ALCOVE
2087	PLOVER
2088	DARK
2089	ARCHED
2090	SHELL
2091	RAGGEDCORRID
2092	CULDESAC
2093	ANTEROOM
2094	MAZED.107
2095	WITTSEND
2096	MIRRORCNYN
2097	STALACT
2098	MAZED.112
2099	RESERVOIR
2100	RESERVOIR.N
2101	WARM
2102	BALCONY
2103	FAKE.SLIT
2104	CYLINDRICAL
2105	TREASUREROOM
2106	MAZEA.114
2107	SWOFCHASM
2108	NEOFCHASM
2109	SLOPING
2110	SECRETCYNNE1
2111	SECRETCYNNE2
2112	CORRIDOR
2113	FORK
2114	WARMJUNCTN
2115	BREATHTAKER
2116	FACES
2117	BY.FIGURE
2118	PLAIN.1
2119	PLAIN.2
2120	PLAIN.3
2121	NONDESCRIPT
2122	PENTAGRAM
2123	CHIMNEY
2124	TUBE
2125	TUBE.SLIDE
2126	BASQUE.1
2127	BASQUE.2
2128	BASQUE.FORK
2129	ON.STEPS
2130	STEPS.EXE
2131	STORAGE
2132	Y2?
2133	FAKE.JUMBLE
2134	CATACOMBS.1
2135	CATACOMBS.2
2136	CATACOMBS.3
2137	CATACOMBS.4
2138	CATACOMBS.5
2139	CATACOMBS.6
2140	CATACOMBS.7
2141	CATACOMBS.8
2142	CATACOMBS.9
2143	CATACOMBS.10
2144	CATACOMBS.11
2145	CATACOMBS.12
2146	CATACOMBS.13
2147	CATACOMBS.14
2148	CATACOMBS.15
2149	CATACOMBS.16
2150	CATACOMBS.17
2151	CATACOMBS.18
2152	CATACOMBS.19
2153	AUDIENCE
2154	AUDIENCE.E
